id, name
1291, set dance
1292, sevdalinka
1293, sevillana
1294, shabab
1295, shabad
1296, shalako
1297, shan'ge
1298, shango
1299, shape note
1300, shibuya-kei
1301, shidaiqu
1302, shima uta
1303, shock rock
1304, shoegaze
1305, shoegazer
1306, shoka
1307, shomyo
1308, show tune
1309, sica
1310, siguiriyas
1311, silat
1312, sinawi
1313, singer-songwriter
1314, situational
1315, ska
1316, ska punk
1317, skacore
1318, skald
1319, skate punk
1320, skiffle
1321, slack-key guitar
1322, slide
1323, slowcore
1324, sludge metal
1325, slängpolska
1326, smooth jazz
1327, soca
1328, soft rock
1329, son
1330, son montuno
1331, son-batá
1332, sonata
1333, songo
1334, songo-salsa
1335, sophisti-pop
1336, soukous
1337, soul
1338, soul blues
1339, soul jazz
1340, soul music
1341, soundtrack
1342, southern gospel
1343, southern harmony
1344, southern hip hop
1345, southern metal
1346, southern rock
1347, southern soul
1348, space age pop
1349, space music
1350, space rock
1351, spectralism
1352, speed garage
1353, speed metal
1354, speedcore
1355, spirituals
1356, spouge
1357, sprechgesang
1358, square dance
1359, squee
1360, st. louis blues
1361, steelband
1362, stoner metal
1363, stoner rock
1364, straight edge
1365, strathspeys
1366, stride
1367, string
1368, string quartet
1369, sufi music
1370, suite
1371, sunshine pop
1372, suomirock
1373, super eurobeat
1374, surf ballad
1375, surf instrumental
1376, surf music
1377, surf pop
1378, surf rock
1379, swamp blues
1380, swamp pop
1381, swamp rock
1382, swing
1383, swing music
1384, swingbeat
1385, sygyt
1386, symphonic black metal
1387, symphonic metal
1388, symphonic poem
1389, symphonic rock
1390, symphony
1391, synthpop
1392, synthpunk
1393, t'ong guitar
1394, taarab
1395, tai tu
1396, taiwanese pop
1397, tala
1398, talempong
1399, tambu
1400, tamburitza
1401, tamil christian keerthanai
1402, tango
1403, tanguk
1404, tappa
1405, tarana
1406, tarantella
1407, taranto
1408, tech
1409, tech house
1410, tech trance
1411, technical death metal
1412, technical metal
1413, techno
1414, technoid
1415, technopop
1416, techstep
1417, techtonik
1418, teen pop
1419, tejano
1420, tejano music
1421, tekno
1422, tembang sunda
1423, texas blues
1424, thai pop
1425, thillana
1426, thrash metal
1427, thrashcore
1428, thumri
1429, tibetan pop
1430, tiento
1431, timbila
1432, tin pan alley
1433, tinga
1434, tinku
1435, toeshey
1436, togaku
1437, trad jazz
1438, traditional bluegrass
1439, traditional pop music
1440, trallalero
1441, trance
1442, tribal house
1443, trikitixa
1444, trip hop
1445, trip rock
1446, trip-hop
1447, tropicalia
1448, tropicalismo
1449, tropipop
1450, truck-driving country
1451, tumba
1452, turbo-folk
1453, turkish music
1454, turkish pop
1455, turntablism
1456, tuvan throat-singing
1457, twee pop
1458, twist
1459, two tone
1460, táncház
1461, uk garage
1462, uk pub rock
1463, unblack metal
1464, underground music
1465, uplifting
1466, uplifting trance
1467, urban cowboy
1468, urban folk
1469, urban jazz
1470, vallenato
1471, vaudeville
1472, venezuela
1473, verbunkos
1474, verismo
1475, video game music
1476, viking metal
1477, villanella
1478, virelai
1479, vispop
1480, visual kei
1481, visual music
1482, vocal
1483, vocal house
1484, vocal jazz
1485, vocal music
